CASO_ID,MERCADO_ANALISTA,DESCRIPCION_CIUDADANO,PETICION_CIUDADANO
432782,APIA -Reclamo Seguros ,"No estoy de acuerdo con la respuesta dada, puesto que no cumplieron con el standard de 24 horas hábiles en la entrega del vehículo. Atienden hasta las 18:30 y lo solicité el 19 a las 18:01, llamé el 20 a las 18:00 y no tenían vehículo disponible informado vía telefónica, por lo que reclamo a mi corredor que es testigo. Recién el día 21 a las 9:30 dan curso al vehículo, luego de haber reclamado a las 9 am del mismo día. Parten a trabajar a las 9:00 am. No cumplen lo que dice la póliza ni lo que el primer telefonista dice, que a las 18:00 (misma hora) del día siguiente estaría disponible mi vehículo.
El vehículo no se solicitó por el cliente hasta el 31 y se devolvió el 28 de agosto en dependencias de Autotech.
**tengo los correos, pero no logro transformarlos a pdf, pero sí puedo reenviárselos si Uds. me dan la opción, para comprobar lo que YO también escribí.**",Reconocer y disculparse por no cumplir con lo contratado. Más deferencia en la atención. Cumplir con lo que prometen.
767442,Reclamo Valores,"Estimados SVS,

Encuentro realmente inaceptable el mercado de capitales chileno. Por favor, vean el volumen de transacciones y el precio de la accion de banmedica esta semana. A solo 5 días de ser anunciada una OPA por la venta de la compañía. Creo que es vergonzoso como se filtran las negociaciones que son de caracter confidencial, esto es claramente un uso de información privilegiada que lo unico que hace es subirle el riesgo a Chile. Si queremos ser un país OECD, claramente necesitamos una mejora en las penas por uso de información privilegiada. Las adjunto un grafico con el precio de la acción. ",Si queremos ser OECD deberian investigar quienes son los que compraron esta accion y al menos formalizar porque claramente las coincidencias de este tipo no existen.
365253,APIA -Reclamo Seguros ,"Estimados: Con fecha de noviembre del año 2013 me despidieron llebe todos mis antecedentes a la empresa PARIS de cencosud y me dijeron que tenia que esperar que me llegara el finiquito, el dia 5 de diciembre del 2013 presente todos mis antecedentes: FOTOCOPIA CEDULA, FINIQUITO FOTOCOPIA LEGALIZADA, CERTIFICADO DE AFP, dandome una copia de formulario de renuncia de siniestro que tengo en mi poder en donde indica que si la empresa no requiere nuevos antecedentes la liquidacion de mi seguro sera en 15 dias habiles, mi seguro corresponde a la cancelacion de la totalidad de mi deuda con PARIS, pero ya de esto ha pasado mas de un mes y recien hoy me solicitan otro certificado de cotizaciones, yo no me habia atrasado nunca en ningun pago de mi cuenta PARIS en donde cancelaba mi seguro, pero ya tengo segun la empresa de cobranza dos meses y me estan ostigando enviandome cartas de cobranza y llamados telefonicos. Ya he realizado dos visitas a PARIS por el seguro y siempre me dan otra fecha.","Solicito que mi seguro sea cancelado a la brevedad en su totalidad cancelando los intereses de cobros por mora realizados por la empresa de cobranza, y que la empresa se comunique con la de cobranza para que le explique el motivo de mi demora, ellos me dicen que yo les tengo que decir cada vez que me llamen el porqu eno he cancelado.
Ahora quien me cancela a mi mis viajes el pago de estacionamiento, los llamados telefonicos y el tiempo perdido, siendo que yo al momento de cancelarles a ellos mensualmente lo hice sin ningun retraso.
Donde qedan mis derechos como consumidor."
510152,APIA -Reclamo Seguros ,"En mi calidad de abogada y representante de doña XX, es que vengo en reclamar respecto de las corredoras de seguros ya individualizadas, en virtud de que con fecha 03/12/2014 contrató seguro complementario de salud en Clínica Ciudad del Mar (Viña del Mar), dando orden expresa y mandato para que el cobro de la prima se hiciera a través de PAC (Pago automático de cuentas) de la cuenta corriente de mi representada, dicha entidad aseguradora no dio cumplimiento en orden a dar cuenta a la entidad bancaria de dicho mandato, así las cosas y en virtud de que no se realizaban los cobros, es que la señora XX concurrió a solicitar cobro de la prima, a lo que se negaron reiteradamente, argumentando su marido y beneficiario del seguro fue diagnosticado con mal de Chron, en la misma Clínica donde fue contratado el seguro, haciéndole ver de inmediato a mi representada que tendrían problemas con el seguro y le sugirieron rescindir el contrato a lo cual mi representada se negó. Hago presente que el diagnóstico de su marido fue hecho a lo menos dos meses después de la contratación del seguro. Así las cosas la única solución que le entregan es rescindir dicho contrato, el cual está inactivo por no pago (pago que se han negado a recibir) y le propusieron contratar un nuevo seguro de salud complementario, con al salvedad de que su cónyuge no estaría cubierto, ya que a la fecha ya estaría diagnosticado con una enfermedad que según la normativa y la actual época, ahora sería preexistente, pero la cual no lo era al momento de contratar. Es de suma importancia el hecho de obtener una respuesta pronta a la situación actual del contrato de seguro de la señora XX, ya que su cónyuge debe ser sometido a nuevas cirugías, las cuales según el contrato de seguro deberían ser cubiertas en todo lo que no lo cubra Fonasa por dicho seguro.","Se aperciba a las entidades aseguradoras para que den cumplimiento cabal al contrato de seguro de fecha 03/12/2014, respetando todas y cada una de las clausulas estipuladas en él. Y en caso de negativa de las aseguradoras a dar cumplimiento, sirva la presente denuncia para las posteriores acciones legales que correspondan.
"
621017,APIA -Reclamo Seguros ,"Solicito reevaluar la liquidación a mi siniestro numero XX por robo en mi domicilio, la compañia rechazó el pago de un computador personal robado debido a que para acreditar la posesión del articulo presenté la factura electronica que no está a mi nombre ya que pertenecia a un dueño anterior quien me la entregó para poder hacer uso de garantía, además rechazo el pago de las llaves de mi auto, el cual considero que es un articulo de uso domestico robado desde el interior de la casa, la compañia indica que ese articulo debe ser pagado por el seguro del auto, lo que no es factible debido a que el articulo fue robado desde el interior de la casa y no desde el interior del auto, además, la poliza de seguro del vehiculo no cubre robo de llaves.

Cabe mencionar que todo lo declarado como robado fue verificado en inspección a mi domicilio donde se presentaron diversas evidencias como cajas, fotografias, boletas y facturas asociadas.","solicito reevaluar el informe de liquidación para verificar si aplica o no la cobertura de los articulos rechazados, hago este reclamo por expresa indicación del banco donde mantengo las polizas activas."
721084,APIA -Reclamo Seguros ,"MI RECLAMO ES, POR UN SEGURO DE VIDA AGREGADO A MI CUENTA DE CMR FALABELLA POR SEGUROS FALABELLA, EL CUAL NO CONTRATE Y EN LA CUENTA DEL MES PRESENTE DE MAYO ME ARROJA UN SEGURO DE VIDA DEL AÑO 2015 A LA FECHA. LO CUAL EN LA AGENCIA DE SEGUROS FALABELLA NO ME DIERON RESPUESTA DE ESTE.
LA RESPUESTA DE ESTA AGENCIA FUE QUE NO HABRÍA NINGUNA DEVOLUCIÓN Y NO ME DIERON RESPUESTAS DE DOCUMENTO DONDE ASEGURE QUE CONTRATE ESTE SEGURO.
DESEO NO TENER ESTE SEGURO CON FALABELLA Y QUE SE ME REEMBOLSE MI DINERO POR NO CONTRATAR ESTE SEGURO. 
LA COMPAÑIA DE SEGUROS ME DIO UN NUMERO DE RECLAMO EL CUAL NO FUE SATISFACTORIA LA RESPUESTA Y SI RENUNCIABA PERDERÍA TODO MI DINERO POR ESTE SEGURO QUE NO CONTRATE.
ESTO OCURRE EN LA PROVINCIA DE CALAMA.

AGRADEZCO UNA PRONTA RESPUESTA Y SOLUCIÓN A MI PROBLEMA.

ATTE
XX",DEVOLUCIÓN DE EL DINERO POR NO CONTRATO DE ESTE SEGURO EN SU TOTALIDAD Y QUE NO REGISTRE A FUTURO EN MIS CUENTAS DE LA TARJETA CMR FALABELLA.
418114,APIA -Reclamo Seguros ,"Buenas tardes, envíe solicitud de Incorporación a seguro Colectivo por la Empresa. 
Declare preexistencia de C.A medular de tiroides operado en el 2010, sin complicaciones, ni problemas a la fecha. 
Recibí carta de aceptación pero en la cual se indica sin cobertura para preexistencia declarada, todo lo que conlleva, Tratamientos, intervenciones, Quirurgicas, Consultas, en general todo lo derivada de ellas. 
Apelo a esta respuesta ya que en Empresa anterior tuve un seguro al cual ingrese a sólo un año de dicha cirugía, no es la misma aseguradora, pero concuerdo que no me bonifiquen algun examen especifico de la patología no asi como indican 
tratamiento  (Medicamento Eutirox)
Examenes     (Eco tiroidea, TSH T4 Tlibre) pues este tipo de examenes son comunes y corrientes, así como también mencionan consultas medicas.... 


"," Solicito dar cobertura a lo indicado,pues los controles cumplido los 5 años son anuales... y tal como mencioné son exames comunes.... "
275814,Reclamo Valores,"aun no recibo respuesta sobre carta envia svs, caso 267645 lo que ofrece el banco es completamente fuera a lugar. solo quiero la renovacion absoluta del seguro.. los problemas empezaron a ocurrir desde el 2010.  el seguro tomado fue con renovacion automatica y descuento por libreta ahorro vista 72960407041 y mo es tempral como explica el banco eso es una falsedad absoluta.. quiero el seguro de 1.000 uf lo cual contrate el 18/06/2004.- lo mas justo es que solo tome variedad la prima y no el monto,. esperando respuesta favorable al tema.-","necesito pronta respuesta y que svs, tome carta en asunto. ahy les envio copia.. Ademas  hay mucha gente en el mismo estado que yo..y ya estoy en contacto con muchos de ellos .. pero en particular yo velo por mis intereses propios,."
694504,APIA -Reclamo Seguros ,"Junto con saludar, quisiera manifestar a ud, mi disconformidad con el  informe de liquidación emitido Nº XX, por empresa Segured, según lo informado se cursará una indemnización por un monto de  136.27 UF, considerando que los daños ocasionados por el incendio ascendieron a la suma de 485.43 U.F., y el tope del seguro que contrate es de 300 U.F., solicito a ustedes cobertura por el máximo del seguro de tal manera que pueda apalear el gasto que significada reconstruir lo dañado.
Además debo manifestar que en cuanto a perdida de contenido, solo fue aceptado un valor de 11.43 UF, señalando las observaciones que  la partida inexistente al momento de la inspección, debemos considerar que en su mayoría lo reclamado por perdida eran prendas de vestir las cuales fueron consumidas en su totalidad. 
Espero contar con una re evaluación de mi caso por parte de ustedes.
","solicito interceder ante la compañía para que respondan con el tope del seguro contratado. 
lo anterior obedece al deterioro económico por el cual me encuentro pasando por una separación y no estoy en condiciones de endeudarme con prestamos para restaurar algo que tenia asegurado, ya que es mi único patrimonio, el cual he construido con mucho esfuerzo. "
797829,APIA -Reclamo Seguros ,"Con fecha 10 de octubre de 2017, presente apelación a rechazo en liquidación de seguro de cesación de pago (seguro de cesantia), según caso XX, recibí mensaje de texto con fecha 07 de diciembre de 2017.
con la sola expresión ""Seguros Ripley ha resuelto Rechazar su requerimiento"". Para mas información contactenos al 227689200.
Al comunicarme a ese número, con fecha de hoy 08 de diciembre de 2017, 11:04 horas fui atendido por don XX, en cual solicito copia escrita de la liquidación.
Luego de los 19 minutos de la llamada, la única explicación fue acérquese a la tienda a pedir la documentación solicitada.
El rechazo a este seguro fue que existían imposiciones de un nuevo empleador, luego del termino de contrato. En mi apelación de fecha 10 de octubre de 2017 presente documentación que esas imposiciones correspondían a Licencia medica que  estaba en curso en el momento de mi termino de contrato.

","Reconsideracion a la solicitud de pagos de cuotas, ascenciente a la fecha a $393.302.

tomando en consideración la valides del reclamo y lo extemporáneo de la respuesta, excediendo por lejos los 20 días hábiles"
565918,APIA -Reclamo Seguros ,"Se liquido un siniestro hogar, fue impugnado dentro de plazo por nosotros. La McLarens respondió por carta certificada. Sin dar respuesta clara a nuestros requerimientos, ya que las dudas planteadas fueron resueltas previamente en el requerimiento. El documento establece que la póliza indica como dirimir estos casos y la póliza no indica nada al respecto.
1.-Se utilizó fotos tomadas para acreditar una reparación para asegurar que no hay daños y que ya había sido indemnizado. En circunstancias que ocurrió un segundo siniestro de mayor magnitud que el primero y se adjuntaron gotos que dan cuenta de los daños.
2.-Se incluye fotos de daños en el piso de la propiedad y no se hacen cargo de su indemnizsción aduciendo que no fueron reclamados. En el informe del inspector se indicó que la evalución de dichos daños fueron calificados como ""irreparables"" por maestros y constructores. Consideramos que debe ser indemnizado ese daño porque produce detrimento en el valor de la propiedad
","Que se dirima la impugnación realizada por mí, el asegurado. "
789242,APIA -Reclamo Seguros ,"Mi empresa aseguradora no quiere responder por siniestro
El día 11 de enero del presente año contraté a través de Ripley, corredora de seguros, un seguro automotriz, quienes en asociación con Penta, seguros generales o Liberty debían actuar como mi aseguradora.
Yo, estando tranquilo con mi contrato firmado y mis cuotas en pago al día, me comunique con Liberty el mes de octubre con la finalidad de denunciar un siniestro que me ocurriera, sin embargo su respuesta sería que mi póliza no aparecía en sus registros
Me dirigí a Ripley porque, en ese momento, Liberty menciona que dicha empresa no había informado el ingreso de mi póliza a la empresa, por tanto, aún habiendo pagado mis cuotas, no estaba asegurado.
En este proceso logramos identificar además que las cuotas dejaron de pagarse en junio de este año porque luego de un robo de mis tarjetas, el numero asociado al pago automático dejó de estar vigente y me desafilaron de la compañía. Ninguna empresa me informó a través de carta certificada de esta desafiliación por tanto, yo siendo una persona muy responsable con todos mis pagos, no tengo deudas acumuladas con ninguna institución,  no pude darme por enterado y por ende tampoco pude regularizar esta situación.
Al momento de necesitar hacer uso de mi póliza logré enterarme de todo este revuelo y enredo entre instituciones, las que hasta ahora me han negado el reembolso de los gastos incurridos por mi cuenta en el pago de todos los daños generados en el accidente que tuve el mes de octubre y por el que realicé la debida denuncia en su momento ante Liberty seguros generales.
Recurro a esta instancia a fin de solicitar vuestra intervención en la resolución de este inconveniente que para mi ha ocasionado un gran desajuste en lo económico sin tener responsabilidad alguna en la seguidilla de errores por parte de las empresas antes mencionadas que me llevaron hasta este punto",REEMBOLSO DE TODOS LOS GASTOS EN LOS QUE DEBI INCURRIR Y REPARACIÓN DE MI VEHICULO Y EL DEL AFECTADO
355737,APIA -Reclamo Seguros ,"Presente mi problema en el sernac financiero y obtuve una respuesta positiva de banco estado, me escribieron que cancelarían el seguro y que me devolverían las primas del seguro que page durante 3  y medio años. Respuesta que no cumplieron, me devolvieron 219.000 mil pesos,yo e pagado más de un millón de pesos en el seguro.(todo documentado atraves del sernac financiero)
Este seguro se me obligo a tomarlo para obtener mi crédito hipotecario chilenos en el extranjero, llege a Chile hace 2 meses y quise hacer uso de mi seguro porque se debían 8 dividendos y estaba con orden judicial; El seguro  y banco estado me dijeron que no servía para chilenos en el extranjero, irregularidad que el banco estado nunca admitió.
De ante manó muchas gracias, espero su ayuda sea efectiva y tajante para que el banco estado cumpla.
",Devolucion de todas la plata pagada al seguro de banco estado y una indemnización es lo minimo que estos estafadores deberían hacer.
438903,APIA -Reclamo Seguros ,"Con fecha 9 de septiembre de 2014 hice el prepago de un crédito de consumo otorgado por la cooperativa de ahorro y crédito (Coopeuch) con fecha 12 de junio de 2013.
Con fecha 15de septiembre solicite a la Srta. XX en las oficinas Coopeuch de la ciudad de La Ligua, la devolución de los dineros correspondientes a las primas de seguros no devengadas. Quien hiso el requerimiento mediante la plataforma informática. Y quedé a la espera de respuesta por parte de la cooperativa.
Al no tener respuesta formal, por parte de coopeuch a pesar de llamar reiteradamente a la ejecutiva, quien me decía que aún no hay respuesta, opte por solicitar respuesta formal mediante SERNAC con fecha 30 de septiembre de 2014, recibiendo con fecha 3 de octubre la negativa a mi solicitud, argumentando que mi contrato de crédito se rige por una legislación más antigua  en la cual no tengo derecho a devolución de primas de seguros por extinción de los riesgos.
",La devolución de la prima no ganada por la aseguradora
709703,APIA -Reclamo Seguros ,"El reclamo se funda en que el día 07 de julio de 2016 suscribí la póliza de seguro con la compañía Liberty seguros generales, cuyo número es XX y cuyo intermediario es Banchile Corredores de seguros, contratando un pago automático de cuentas, la primera cuota fue pagada con cheque, sin embargo dicho pago automático no fue cargado, sin  ningún motivo informado. Es más sin tener conocimiento alguno de esta situación, al consultar en el mes de marzo por la póliza en cuestión, me señalan que hace meses se dio de baja, sin haber recibido la carta correspondiente.
Por ende quedando sin cobertura en siniestro ocurrido.
Considero que el mandato suscrito con Banchile es de responsabilidad de ellos, pues suponiendo  que hubiese algún problema se debió informar comunicandome como lo señala la ley y no dando de baja la póliza arbitrariamente","aclarar carta no enviada, resarcir los perjuicios provocados, validado la poliza no informada de baja."
443794,APIA -Reclamo Seguros ,"Srs.
Según se puede observar en el Mail del día 29/09/2014, se solicita a la empresa aseguradora se me entregue un detalle de los montos cancelados, es decir, necesito saber en definitiva ¡que se cancelo?..Sin embargo, a la fecha no he obtenido respuesta alguna  a mi solicitud, lo cual considero es un derecho que tenemos, aquellos que debemos asegurarnos.
También en el mail adjunto (ver antes del 29/09), se evidencia que esta aseguradora siempre se ha demora en entregar respuesta y he tenido que perseguir constantemente a las personas a través de correo a la aseguradora, al banco santander donde compre el seguro  y a través de la línea de servicio telefónico del servicio de cliente.  Por ello, dado que entiendo que existen plazos de respuesta extiendo este reclamo a todo lo que he tenido que pasar para ser efectivo mis pagos y se castigue a la empresa de acuerdo a los requisitos exigidos por la superintendencia.
","1.- Informe detallado de lo cancelado
2.- Reclamo del monto faltante
3.- Reclamo por demora constante de la empresa ante mis requerimientos de manera de que sea castigado por la superintendencia y otras personas no tengan que pasar lo mismo"
571200,APIA -Reclamo Seguros ,"BUENOS DIAS.
EL MES PASADO INTERPUSE UN RECLAMO CONTRA LA COMPAÑIA CHILENA CONSOLIDAD. YA QUE EL SEGURO QUE TOMO MI ESPOSO NO LO QUIEREN PAGAR Y SEGUN UNA CLAUSULA QUE TIENEN USTEDES ES QUE DEBEN DEVOLVER EL DINERO AL ASEGURADO SI NO CORRESPONDE INDEMNIZACION EN ESTE CASO A MI LA ESPOSA. YA QUE EL TOMO EL SEGURO EN MARZO,MURIO EN JULIO EN AGOSTO SE INFORMO A LA COMPAÑIA QUE HABIA FALLECIDO Y SIGUIERON COBRANDO EL SEGURO HASTA NOVIEMBRE 2015 Y AUN NO HAY SOLUCION AL PROBLEMA.ESPERANDO UNA PRONTA SOLUCION AL PROBLEMA Y QUE REALMENTE VEAN EL CASO QUE SI CORRESPONDE QUE ME PAGUEN EL SEGURO Y NO QUE ESTEN USTEDES PARA APOYAR A LAS ASEGURADORAS Y SIEMPRE DARLE LA RAZON A CONTINUACION DETALLO LO SUCEDIDO. YA QUE ESTA ES 3ERA VEZ QUE PRESENTO EL RECLAMO Y AUN NO OBTENGO RESPUESTA DE PARTE DE USTEDES Y MUCHO MENOS DE LA CIA CHILENA CONSOLIDADA
Buenas tardes.
la persona que ud dice que no registro o no dijo que fue operado de una ulcera duodenal en el año 1998 y si bien ud pregunta a un medico especialista le dira que el tuvo un cancer de vesicula por ahi empezo el cancer. y segundo cuando su esposa fue a denunciar el siniestro el dia 10/09/2015 sigueron cobrando el seguro hasta el mes de octubre. si bien segun ustedes no corresponde indemnizar a la esposa por el seguro medico . corresponde que le devuelvan  el dinero que le cobraron por todos estos meses que nunca estuvo cubierto por el seguro.
1- espero que le devuelvan todo el dinero cobrado por concepto de pago de primas mensuales, incluso las cobradas una vez que el titular del seguro habia muerto.
2- me veo en la obligacion de apelar nuevamente por que es totalmente injusto lo que ustedes hacen el nunca estuvo cubierto por dicho seguro. y se niegan a cancelar la indemnizacion por algo que si corresponde segun el criterio de los medicos a los cuales se les a preguntado sobre el tema
Esperando una pronta respuesta","INVESTIGUE A FONDO EL CASO YA QUE CORRESPONDE EL PAGO DE DICHA POLIZA. ES MUCHO LA SINVERGUENZURA DE TODAS LAS ENTIDADES EN CONTRA DE NOSOTROS LOS CLIENTES.
Y QUE ME DEVUELVAN EL DINERO QUE FUE COBRADO DESPUES DE HABER DADO AVISO A LA COMPAÑIA DEL FALLECIMIENTO DE MI ESPOSO QUE FUE EN JULIO Y COBRARON HASTA NOVIEMBRE 
ESPERANDO QUE AHORA REALMENTE ME DEN UNA RESPUESTA USTEDES O CHILENA CONSOLIDADA
GRACIAS"
