CASO_ID,DESCRIPCION_CIUDADANO,PETICION_CIUDADANO
702711,"ALREDEDOR DE 7 AÑOS ATRÁS CONTRATE  UN SEGURO CON LA COMPAÑÍA MENCIONADA.
EL DIA 13 DE ENERO DE ESTE AÑO 2017 RECIBO UNA CARTA Y POSTERIORMENTE UN MAIL, INFORMANDOME QUE LA COMPAÑÍA NO RENOVARA LA POLIZA DEL SEGURO CON LAS CONDICIONES CONTRATADAS Y QUE HAN ESTADO VIGENTE POR TODO ESTE TIEMPO.
EL SEGURO QUE YO CONTRATE  ES EL “ALIVIO SEGURO”.
EN SU REEMPLAZO ME OFRECEN UN SEGURO DONDE AUMENTAN LAS EXIGENCIAS DE PAGO DE LOS SERVICIOS REQUERIDOS, OBVIAMENTE A FAVOR DE ELLOS.
EJEMPLO: HABIA UN DEDUCIBLE DE 50 UF UNA VEZ OPERABA LA ISAPRE, PUES ELLOS LO  AUMENTARON A 75 UF.
CUALQUIER COSA QUE A MI ME SUCEDA EN EL EXTRANJERO AHORA LO CUBRIRAN EN UN 50% DESPUES DE QUE HAYA OPERADO LA ISAPRE Y POR SUPUESTO DESPUES DEL DEDUCIBLE.
ES UNA MEDIDA ARBITRARIA Y UNILATERAL DE LA COMPAÑÍA, SOBRETODO QUE YO HE PAGADO TODOS ESTOS AÑOS Y HE UTILIZADO EL SEGURO SOLO UNA VEZ
",QUE MI POLIZA SE MANTENGA VIGENTE CON LAS CONDICIONES QUE YO LA CONTRATE Y QUE HAN SIDO LAS QUE HAN REGIDO HASTA AHORA
526978,"EL DIA 31-03-15 FUI FINIQUITADA PRESENTE DOCUMENTACIÓN CON FECHA 13-04-2015 PARA COBRO DE SEGURO QUE TENGO DESDE MAS DE  5 AÑOS, LO CUAL DEJE TODO LO REQUERIDO TIENDA CUANDO PREGUNTO ME ENCUENTRO CON SITUACION DE QUE SE HABIA RECHAZADO PORQUE NO CUMPLIA LA CONTRATACION DE  30 DIAS , POR LO CUAL ME ACORDE QUE LA TIENDA HIZO CAMBIO TARJETA DONDE PREGUNTE MAS  87 VECES A TRABAJADORES Y 2 JEFAS SI AL CAMBIAR TARJETA PERDIA SEGURO LA RESPUESTA FUE QUE NO PORQUE TODO SEGUI IGUAL YA QUE LAS CONDICIONES ERAN LAS MISMAS ELLAS ENVIARON CORREO Y SE SOLCIONO TEMA YA HA CASI 5 MESES VOY DOS VECES A LA SEMANA Y ENVIAN CARTA QUE DARAN RESPUESTA Y A LA FECHA NADA, SE SUPONE QUE YO  CLIENTA DE LA TIENDA Y ELLOS DEBEN DAR SOLUCION NO YO BUSCAR A LA ASEGURADORA ELLOS HAN REALIZADO RECLAMOS CONSULTAS Y A LA FECHA NADA SOLICITO AYUDA",SOLICITO QUE ME REALIZEN EL PAGO DE MI SEGURO CESANTIA EL CUAL HE CANCELADO POR MAS DE 5 AÑOS DONDE EL VALOR MAXIMO  ES DE  200.000
610924,"Señores superintendencia de valores y seguros. : nuevamente me veo en la necesidad de recurrir a esa unidad de apoyo ya que ante mi problema dado a conocer anteriormente en oficio numero XX  y respuesta de SVS oficio 6467 del 14 de Abril 2016. Respecto a mi situacion con seguros BCI y por la cual obtuve por medio de ustedes una respuesta positiva de ingresar el siniestro sufrido meses atras el cual la aseguradora se negó a acoger en primera instancia por su propia negligencia 
Ante vuestra  valiosa intervención procedieron a reincorporarme en la aseguradora e ingresar el siniestro
No obstante me han sentenciado 2 veces con q debo pagar cifras aprox a los 80.0000 mil pesos aludiendo motivos creados por ellos para ese fin como por ejemplo
1.- que no existia la afiliación de mi parte en el seguro que no estaba en el sistema...en circunstanciAs que busque la poliza y se las presente..pareciendome muy extraño q no existiera en su registro
Dada esta evidencia de mi parte me dijeron que ya no debia pagar ese dinero. Buscando un siguiente motivo para  cobrarme un dinero i injustamente ,aludiendo q  por  la no inspeccion del vehiculo que fue el motivo que origino todo esta situacion y que fue su negligencia,me aplicarian 75UF  de multa en el trabajo de reparacion de mi vehiculo que es el total del deducible cuando el vehiculo  no es inspeccionado para hacer efectivo mu  reincorpiracion al seguro ,dictamen  emanado por su entidad  fiscalizadora...tramite que no se me informo
Ante esta negligencia, abuso,y burocracia de  parte de la aseguradora he decidido no ingresar mi vehiculo al taller hasta tener una respuesta que me desligue de toda responsabilidad injusramente impuesta por la aseguradora
Confio en una pronta y satisfactoria solucion a mi problema, negandome a cualquier cobro 
Sin otro particular saluda atte

XX
Numero de siniestro: XX
Deducible de mi poliza 5 %",Que no tenga que pagar algo que no me corresponde pagar para terminar pronto con los tramites que la verdad han sido muy engorrosos y me han demandado mucho tiempo. 
623680,"Entregado el ultimo documento solicitado, alzamiento de prenda, aun No tengo respuesta por parte del liquidador, cuando pagaran mi indemnización.

En Febrero 2016, me robaron el auto.

Tengo problemas con la liquidación que ellos me enviaron, con un ítem llamado Ajuste Técnico, este ajuste según el liquidador lo hacen sobre un supuesto que los vehículos cotizados para el calculo del valor comercial están sobre valorado.
Yo no acepto este descuento que asciende a la suma de mas de $500 mil pesos.

Necesito saber, este Ajuste Técnico es legal aun cuando el liquidador me admitió que no estaba estipulado en la Póliza y en esta solo se habla del valor comercial del auto como valor final a indemnizar.

Llevo 6 meses en tramites, no sera mucho, espero me puedan ayudar.

Le adjunto Liquidación enviada por RSA Seguros.

Gracias",Asesoria para saber si es correcto lo que indica la aseguradora
567856,"Estimados,

Hemos pedido reiteradas veces a metlife que nos den claridad con respecto del seguro adquirido por mi suegro, con lo cual no se logra ningún avance.

Mi suegro falleció pagando una prima y no alcanzo a obtener pensión alguna, con lo cual mi señora tendrá derecho a 7,5 uf mensuales pero a partir de octubre 2016 por lo que nos comentaron y hasta que cumpla 24 años que sera en diciembre 2016, con lo que demora este tramite de seguro no tendrá derecho a nada, la pregunta que no han logrado responde es porque el resto del dinero queda todo para metlife si la persona que contrato el servicio de seguro (mi suegro) no pudo hacer uso de este por lo cual no entendemos porque tiene que quedar todo el dinero en la compañía de seguros, llega hasta ser injusto que se queden con un dinero con el cual ellos lograron lucrar desde que se pago la prima (el año pasado) hasta octubre de este año y no pagaron ninguna pensión a mi suegro.

","Agradeceríamos que nos pudiera dar una respuesta clara ya sea si la totalidad de la prima o parte de esta se puede rescatar con servicios no concretados o si efectivamente Metlife se quedara con todo el dinero así sin mas.

No duden en solicitar mas información al respecto, el fondo de todo esto es que sean cosas justas.

Muchas gracias por la gestión."
637438,"Hace prácticamente un año atrás (25 de septiembre de 2015), envíe a través de la página Web de esa Superintendencia de Valores y Seguros, carta que acompaño (Reclamo N°XX), la que aún no tiene respuesta.
En lo sustancial, mediante la carta en cuestión solicité verificar si los contratos de prestaciones de servicios que mantiene ELIQSA con las distintas empresas de servicios controladas por CGE con una propiedad de más del 99%, se ajustan a condiciones de equidad, similares a las que habitualmente prevalecen en el mercado, y si los directores cumplieron a cabalidad con los artículos 39, 41, 42 y 48 de la Ley 18.046 sobre Sociedades Anónimas

","Por lo anteriormente expuesto, agradeceré a usted vuestra respuesta a la carta en cuestión enviada el pasado 25 de septiembre de 2015"
763657,"Hasta el año 2010 tengo inscritas 50.000 acciones  “Conosur “, en custodia en Banchile Corredores de bolsa. (Certificado N° 10329.)
Conosur salió de la bolsa posteriormente, y al parecer finalizo  sus funciones, sin que Me fuera informado por parte de Banchile Corredores De Bolsa S.A, que paso con mis títulos o acciones en custodia, Ni menos indemnizarme por ellas , ya que no alcance a vender.
Actualmente, no aparecieron más en los siguientes informes de mis acciones en custodia.
La respuesta dada por la entidad antes mencionada (Banchile Corredores De Bolsa S.A), fue que esta ya no tiene ningún valor, por lo que las eliminaron de su custodia.
¿Es posible que se eliminen sin mas , y no tengan ninguna, indemnización?
",Consulta de que pasa con mis acciones no vendidas
364529,"TENGO MI APV (AHORRO PREVISIONAL VOLUNTARIO) EN LARRAINVIAL Y ELLOS EMITEN FACTURAS A MI NOMBRE PARA HACER LOS COBROS DE ADMINISTRACION, LOS CUALES SON TRIMESTRALES. ME GUSTARIA SABER SI ESTA ES LEGAL O CORRECTO, YO TENGO ENTENDIDO QUE EL APV NO COBRA IVA, Y AL EMITIR FACTURA POR DEFINICION VA CON IVA O NO ES ASI? DE TODAS MANERAS ME PARECE IRREGULAR QUE SE EMITA UNA FACTURA DE COMPRA, A MI NOMBRE, PARA HACER EL COBRO DE ADMINISTRACION DEL APV... ADJUNTO FACTURA, MUCHAS GRACIAS POR LA AYUDA, QUEDO ATENTO.SALUDOS CORDIALES",Aclarar si es correcto que se facture a mi nombre por un cobro de APV (ahorro previsional voluntario)
723888,"Esta empresa vende en su pagina web monedas de curso legal onza troy en oro y plata importadas desde el exterior . Sin embargo si Uds revisan su pagina web  www.aureus.cl dice tener relaciones extratégicas con el banco central de USA y de la casa de moneda de Australia perth mind.... pero no poseen dirección física y sólo ariende siempre un hombre que dice ser el dueño que usurpa en nombre de Aureus que es una empresa internacional . Asi las cosas quisiera saber , si esta entidad que compra y vende monedas de oro por au web en Chile que son de curso legal internacional en formato Onza Troy de Oro y Plata desde la casa de monedas de Canada , USA y Australia es reconocida por esta superintendencia y de no ser así, solicito que sea investigada y accionar como la ley franquea bajo las gestiones potestativas y discresionales que SVS posee para fiscalizarla . ","Fiscalización y observar las inobservacoas legales de la inexistencia del registro de dicha empresa que no posee representacion legal ni lugar físico , dice trasladar valores por mano y eso es del todo ilegal. Cierre de la estafa que hace esta empresa ficticia para los ciudadanos chilenos  "
408156,"Tengo contratado el seguro metlife con la red de salud UC. En mi último embarazo padecí de Placenta previa y acretismo placentario (según consta en certificado médico) los cuales se encuentran cubiertos en la póliza como “complicaciones del embarazo”. Luego de atenderme en la clínica San Carlos UC se entregó toda la documentación a metlife el dia 20 de mayo de 2014, quienes resuelven en dos ocasiones de apelación el no pago ya que los códigos de la facturación de la clínica son de cesárea – que corresponde al tratamiento médico para ambas enfermedades- aduciendo que ellos no pagan cesáreas. Obviamente la mayor parte de las complicaciones del embarazo que se señalan como cubiertas tienen una cesárea como fin. La clínica no posee códigos diferenciados para placenta previa o acretismo. Solicito pago de reembolso solicitado.","Quiero que Metlife reconozca y pague el reembolso solicitado ya que se ha demostrado la existencia de 2 complicaciones del embarazo que deben ser cubiertas segun la poliza y que no aduzcan a que debieran tener codigos diferenciados para las enfermedades en la facturacion de la clinica, dado que se factura el procedimiento, no la enfermedad."
699891,Transparencia en la manera en que los valores de cuota son calculados para un fondo muto del banco Santander,Favor referirse a la comunicación en el documento adjunto donde todos los detalles de este tema son entregados.
472802,"Siniestro Nro. XX. Mi póliza N°XX de HDI, dice que para evitar el pago de UF10, del deducible, deben ir ambas partes y que el culpable debe asumir su responsabilidad. Hicimos este trámite el mismo día del siniestro, pero HDI rechazo parte indicando que no había una declaración clara de la responsabilidad y que se podía hacer una denuncia más precisa. Esta se hizo el 30 de enero, concurriendo ambas parte. Dicha denuncia volvió a ser rechaza ya que HDI indica que ambas partes deben ser identificadas al inicio de la declaración. Fui a la comisaria y consulte con el oficial de turno, el cual me indico que cuando hay un responsable, el afectado es identificado al inicio de la declaración y el responsable en el cuerpo del texto, por lo que el denuncio estaba bien hecho.  Solicito un pronunciamiento ya que HDI, me pide ahora una declaración notarial de culpabilidad de la conductora, trámite que ya me parece un abuso toda vez que segundo parte cumple todo lo requisitos de la póliza","Pronunciamiento con relación a 2° parte, indicando que este cumple los requisitos para evitar que asegurado pague UF10 del deducible"
667392,"Poseo un seguro que tengo con el banco de chile ""seguro contenido robo auto"". 
Que consiste en cobertura por siniestro o robo de contenido auto y partes del automovil. El día 11 de Octubre realizo el envío de fprmulario y documentos correspondientes al siniestro. Hasta la fecha no he recibido respuesta alguna siendo que poseen 25 días para responder según póliza y me han pedido que reenvíe documentos en reiteradas ocasiones porque no les figura que ha sido ingresado por ellos mismos. He enviado en reitreradas ocasiones documentación a todos los correos que me han solicitado, he realizado solicitudes por correo, vía página web y telefónica a lo que no he tenido respuesta, siempre responden que debo reenviar datos que ellos no tienen nada y que no ha sido ingresado. HA pasado bastante tiempo y no tengo respuesta ni siquiera de los encargados del área de ese seguro.
",Solicito que me responda el seguro a la brevedad y que se pague un agregado por el tiempo fuera de plazo por perjuicios.
664380,"ENTRE EL 22 Y EL 26 DE SEPTIEMBRE ME ROBARON 3 AUTOS RENUALT SYMBOL. TODOS ASEGURADOS E DOS COMPAÑIAS MEDIANTE LA CORREDORA FALABELLA DE SEGUROS. 2 QUEDARON EN LA CHILENA CONSOLIDADA Y UNO EN BCI. EL QUE ESTABA ASEGURADO EN BCI, FUE RECUPERADO POR CARABINEROS EL EL DÍA 22 DE NOVIEMBRE DE 2016 JUNTO A DOS DETENIDOS Y LA COMPAÑIA NO PUSO NINGÚN REPARO NI OBJECIÓN PARA HACERSE CARGO DEL SINIESTRO. (CABE MENCIONAR QUE ÉSTE FUE BAJO LAS MISMAS CIRCUNSTANCIA YA QUE SE ROBARON LOS 3 AUTOS JUNTOS) 

NO OBSTANTE LOS OTROS DOS VEHÍCULOS NO APARECIERON LUEGO DE LOS 30 DÍAS QUE ESTIPULA LA PÓLIZA Y LA COMPAÑIA CHILENA CONSOLIDADA RECHAZA EL SINIESTRO BAJO SUPUESTOS DE FALTA DE CUIDADO DE LOS VEHÍCULO.

EN EL INFORME DE LA COMPAÑÍA, MÁS LAS IMPUGNACIONES Y RECLAMOS (ADJUNTOS) PODRÁN ENTENDER CON MÁS DETALLE LO SUCEDIDO.",QUE LA COMPAÑÍA CHILENA CONSOLIDADA SE HAGA CARGO DE AMBOS SINIESTROS Y QUE RESPONDA  A LA ASEGURADA AL IGUAL COMO LO HIZO BCI SIN PONER NINGÚN PROBLEMA.
446947,"MetLife puso término unilateral y sin previo aviso a mi póliza de seguros de vida (XX) vigente desde septiembre de 2009, realizando el último cobro en octubre de 2014.

Ante consultas al centro de atención a clientes el motivo por el cual no realizaron el cobro de noviembre de 2014, me informan que registran primas pendientes de años anteriores (una de 2009 y dos de 2013) las que son desconocidas para mí ya que tengo contratado PAC con banco santander. Nunca se realizó alguna gestión de cobranza de dichas primas ni tampoco se me informaron. Aún así las primas de la póliza se cobraban de forma regular y efectiva cada mes hasta octubre de 2014.

Metlife no me entrega mayores antecedentes y tampoco me dan opción de reactivar la póliza cancelando las primas que pudieran estar pendientes y que no fueron debidamente informadas por la compañía.
","Me petición es que se gestione la reactivación de la póliza, aceptación del pago de primas que pudieran estar pendientes y continuar con la cobertura que corresponde.
De forma contraria, solicitar a MetLife la devolución de todos los pagos realizados posteriores a la caducidad que según cláusulas de la póliza corresponde a 30 días corridos desde el no pago de prima. Lo que correspondería a contar de noviembre de 2009.
"
758981,"No recibí la carta de aviso de aumento de la prima para el año 2017 del seguro de mi automóvil. Me di cuenta a principios de agosto del presente año que la compañía estaba cargando a mi tarjeta de crédito desde febrero un monto mensual de $93.186. Hasta enero 2017 se cobraba un monto mensual de $61.397. Adjunto reclamo presentado el 11 de agosto  y la respuesta de la compañía recibida el 14 de agosto con un comprobante del aviso enviado a una dirección que no corresponde, donde acusa recibo una persona que desconozco y sin fecha de recepción. Además, la compañía cuenta con mis datos de contacto, correo electrónico y celular. Adjunto póliza contratada en enero de este año como comprobante que la dirección correcta de mi domicilio estaba actualizada en el sistema de la compañía. Los documentos adjuntos se pueden abrir con la siguiente clave XX. ","Solicito devolución del aumento de la prima desde febrero a agosto 2017 por no contar con mi consentimiento, correspondiente a un total de $222.194 doscientos veintidós ciento noventa y cuatro pesos ($31.742 mensuales). "
